Contact_Name,Contact_Email,Contact_Affiliation,Metadata_Provider_Name,Location_ID,Location_Name,Location_Alias,Location_Activity,Location_Category,Measurement_Categories,Years_Data_Collected,Research_Theme,Description,Geographic_Region,Parent_Location_ID,Latitude,Longitude,Lat_Long_Measurement_Method,Topographical_Elevation,Topo_Elev_Measurement_Method,Depth_Profile_Elevations,Instrumentation,Variables_Measured,Related_Reference
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-BRD1,Bradley Creek,Bradley,Stream Gage with Water Quality,SFA Satellite Site,Hydrogeology; Biogeochemistry,2014-Present (as of Dec 2020),Surface discharge and solute flux,Data used to quantify seasonal and interannual hydrologic response and mass flux of solutes at the sub-catchment scale. Rating curved approach applied to pressure transducer data.,ERC,ERC,38.98540925,-107.0048454,Trimble GPS,2939.9,LIDAR,N/A,"Stream sampling location, Discharge transducer",Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P); Dissolved Total Nitrogen (DTN),N/A
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-CPR1,Copper Creek,Copper,Stream Gage with Water Quality,SFA Satellite Site,Hydrogeology; Biogeochemistry,2014-Present (as of Dec 2020),Surface discharge and solute flux,Data used to quantify seasonal and interannual hydrologic response and mass flux of solutes at the sub-catchment scale. Rating curved approach applied to pressure transducer data.,ERC,ERC,38.95705903,-106.988286,Trimble GPS,2884.74,LIDAR,N/A,"Stream sampling location, Discharge transducer",Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P); Dissolved Total Nitrogen (DTN),N/A
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-EAQ1,East River above Quigley Creek,EAQ,Stream Gage with Water Quality,SFA Satellite Site,Hydrogeology; Biogeochemistry,2014-Present (as of Dec 2020),Surface discharge and solute flux,Data used to quantify seasonal and interannual hydrologic response and mass flux of solutes at the sub-catchment scale.  Rating curved approach applied to pressure transducer data.,ERC,ERC,38.99518558,-107.0145513,Trimble GPS,2983.96,LIDAR,N/A,"Stream sampling location, Discharge transducer",Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Dissolved Total Nitrogen (DTN); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P),N/A
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-EBC1,East River below Copper Creek,EBC,Stream Gage with Water Quality,SFA Satellite Site,Hydrogeology; Biogeochemistry,2014-Present (as of Dec 2020),Surface discharge and solute flux,Data used to quantify seasonal and interannual hydrologic response and mass flux of solutes at the sub-catchment scale. Rating curved approach applied to pressure transducer data.,ERC,ERC,38.95242537,-106.9894862,Trimble GPS,2864.92,LIDAR,N/A,"Stream sampling location, Discharge transducer",Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P); Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Dissolved Total Nitrogen (DTN),N/A
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-PHF0,Pumphouse ISCO,"Pumphouse, ER-PHF1",Stream Gage with Water Quality Measurements,SFA Intensive,Hydrogeology; Biogeochemistry,2014-Present (as of June 2024),Surface discharge and solute flux; Stream water quality parameters,"As of June 2024, the location ER-PHF1 was merged with this location (ER-PHF0). The ER-PHF1 location historically represented winter time sampling taken by hand. Data used to quantify integrated watershed processes. Discharge calculations based on a rating cuve approach. Two ISCOs serve the site. One to collect anions, cations, trace metals, DIC and NOPC. The second collects samples for stable isotopes with each bottle filled with approx. 2 cm oil to minimize evaporation between sample retrival. ISCOs collect from the stream during ice-free days (April through October) and sample from winter storage (WS) November through March. One multi-paramter probe serve this site, measuring water quality at 5-minute intervals.",PH,ERC,38.922447,-106.950828,Trimble GPS,2759.57,LIDAR,N/A,"ISCO Stream Sampler, Discharge transducer, YSI Sonde",Lithium (Li); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Strontium (Sr); Molybdenum (Mo); Barium (Ba); Uranium (U); Arsenic (As); Total Phosphorous (P); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Dissolved Inorganic C (DIC); Beryllium (Be); Total Chromium (Cr); Titanium (Ti); Germanium (Ge); Rubidium (Rb); Zirconium (Zr); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Europium (Eu); Lead (Pb); Thorium (Th); Non-Purgable Organic Carbon (NPOC); Dissolved Total Nitrogen (DTN); Water Temperature; Electrical Conductivity (EC); pH; Redox Potential (ORP); Water Level; Total Dissolved Solids (TDS); Dissolved Oxygen (DO); Colored Dissolved Organic Matter (FDOM); Turbidity,N/A
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-RCK1,Rock Creek,Rock,Stream Gage with Water Quality,SFA Satellite Site,Hydrogeology; Biogeochemistry,2014-Present (as of Dec 2020),Surface discharge and solute flux,Data used to quantify seasonal and interannual hydrologic response and mass flux of solutes at the sub-catchment scale. Rating curved approach applied to pressure transducer data.,ERC,ER,38.98166807,-107.0055887,Trimble GPS,2933.69,LIDAR,N/A,"Stream sampling location, Discharge transducer",Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P); Dissolved Total Nitrogen (DTN),N/A
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-RUS1,Rustlers Gulch,Rustlers,Stream Gage with Water Quality,SFA Satellite Site,Hydrogeology; Biogeochemistry,2014-Present (as of Dec 2020),Surface discharge and solute flux,Data used to quantify seasonal and interannual hydrologic response and mass flux of solutes at the sub-catchment scale. Rating curved approach applied to pressure transducer data.,ERC,ER,38.98893967,-107.007755,Trimble GPS,2952.39,LIDAR,N/A,"Stream sampling location, Discharge transducer",Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P); Dissolved Total Nitrogen (DTN),N/A
Rosemary Carroll,rosemary.carroll@dri.edu; rcarrollcb@gmail.com,DRI,Roelof Versteeg,SR-NLA1,Nicholson Lake,NL,Stream Gage with Water Quality,SFA Satellite Site,Hydrogeology; Biogeochemistry,2019-2022,Surface discharge,Data used to quantify seasonal discharge.,SR,SR,38.89693,-107.011,Phone,2712.59,USGS DEM,N/A,Pressure transducer (Hobo MX2001-04) serial number 20752650,"Stream temperature, water level above sensor, discharge",N/A
Rosemary Carroll,rosemary.carroll@dri.edu; rcarrollcb@gmail.com,DRI,Roelof Versteeg,SR-GSB1,Gunsight Bridge,GSB,Stream Gage with Water Quality,SFA Satellite Site,Hydrogeology; Biogeochemistry,2020-2022,Surface discharge,Data used to quantify seasonal discharge.,SR,SR,38.93888889,-107.0144444,Phone,3003.47,USGS DEM,N/A,Pressure transducer (Hobo MX2001-04) serial number 20739205,"Stream temperature, water level above sensor, discharge",N/A
Kenneth Williams,khwilliams@lbl.gov,Lawrence Berkeley National Laboratory,"Alex Newman, Curtis Beutler",LO-LOC1,Lottis Creek gauging station,"Lottis, Lottis ISCO, TR-LOC1",Stream Gage with Water Quality Measurements,SFA Intensive,Hydrogeology; Biogeochemistry,20220609-Present,Surface discharge and solute flux,Stream gauging station with automatic sampler,LO,LO,38.769319,-106.621097,Trimble,2789.79,USGS DEM,N/A,"Transducer, ISCO automatic sampler","DOC/DIC, Cations, anions, water isotope, discharge, stage",N/A
