domain,model,donor_wy,swe_mm,soil_liq_mm,aquifer_mm,total_storage_mm,basin,spatial
East_River_lumped,bigBuckt,2001,0.0,103.96951508217448,133.51542837127514,237.4849434534496,East_River,lumped
East_River_lumped,bigBuckt,2002,0.0,103.9697032508557,134.20157130398226,238.17127455483796,East_River,lumped
East_River_lumped,bigBuckt,2003,0.0,103.96954744290593,140.2910979136862,244.26064535659214,East_River,lumped
East_River_lumped,bigBuckt,2004,0.0,103.96960040029579,132.53252910406056,236.50212950435633,East_River,lumped
East_River_lumped,bigBuckt,2005,0.0,103.96951405071397,135.05728161684704,239.026795667561,East_River,lumped
East_River_lumped,bigBuckt,2006,0.0,103.96933565727005,127.16897981957567,231.13831547684572,East_River,lumped
East_River_lumped,bigBuckt,2007,0.0,103.96988331848783,142.42245983833965,246.39234315682748,East_River,lumped
East_River_lumped,bigBuckt,2008,0.0,103.96947849452513,137.03729963162863,241.00677812615376,East_River,lumped
East_River_lumped,bigBuckt,2009,0.0,103.96945234384742,140.2533448434173,244.22279718726472,East_River,lumped
East_River_lumped,bigBuckt,2010,0.0,103.96953042297424,137.21123930694895,241.1807697299232,East_River,lumped
East_River_lumped,bigBuckt,2011,0.0,103.97289259733597,147.57713923656164,251.5500318338976,East_River,lumped
East_River_lumped,bigBuckt,2012,0.0,103.96944110565852,132.4230306010524,236.39247170671092,East_River,lumped
East_River_lumped,bigBuckt,2013,0.0,103.96935731225526,137.48758690634648,241.45694421860173,East_River,lumped
East_River_lumped,bigBuckt,2014,0.0,103.96947437137506,134.09151911706832,238.0609934884434,East_River,lumped
East_River_lumped,bigBuckt,2015,0.0,103.97364232989867,152.94645788093578,256.92010021083445,East_River,lumped
East_River_lumped,bigBuckt,2016,0.0,103.96940100924125,137.13705220496996,241.10645321421123,East_River,lumped
East_River_lumped,bigBuckt,2017,0.0,103.96956547656438,128.79540983925307,232.76497531581745,East_River,lumped
East_River_lumped,bigBuckt,2018,0.0,103.96948475480563,137.7919801091816,241.76146486398721,East_River,lumped
East_River_lumped,bigBuckt,2019,0.0,103.96983340178502,137.67153953689606,241.6413729386811,East_River,lumped
East_River_lumped,bigBuckt,2020,0.0,103.96950165598318,138.49141374239065,242.46091539837383,East_River,lumped
East_River_lumped,noXplict,2001,0.0,155.95350865575017,0.0,155.95350865575017,East_River,lumped
East_River_lumped,noXplict,2002,0.0,156.30655298373676,0.0,156.30655298373676,East_River,lumped
East_River_lumped,noXplict,2003,0.0,156.12227852358927,0.0,156.12227852358927,East_River,lumped
East_River_lumped,noXplict,2004,0.0,155.9204176572921,0.0,155.9204176572921,East_River,lumped
East_River_lumped,noXplict,2005,0.0,155.77031441740968,0.0,155.77031441740968,East_River,lumped
East_River_lumped,noXplict,2006,0.0,155.40215603165296,0.0,155.40215603165296,East_River,lumped
East_River_lumped,noXplict,2007,0.0,156.51414444539932,0.0,156.51414444539932,East_River,lumped
