date,value
2016-01-01,12.259
2016-02-01,20.732
2016-03-01,35.118
2016-04-01,46.18
2016-05-01,82.008
2016-06-01,110.713
2016-07-01,116.491
2016-08-01,90.546
2016-09-01,67.029
2016-10-01,38.837
2016-11-01,18.961
2016-12-01,10.905
2017-01-01,7.767
2017-02-01,20.544
2017-03-01,48.232
2017-04-01,49.592
2017-05-01,82.542
2017-06-01,111.17
2017-07-01,110.122
2017-08-01,95.749
2017-09-01,62.667
2017-10-01,36.16
2017-11-01,20.228
2017-12-01,11.333
2018-01-01,12.478
2018-02-01,14.362
2018-03-01,32.985
2018-04-01,52.332
2018-05-01,81.413
2018-06-01,104.154
2018-07-01,102.78
2018-08-01,78.764
2018-09-01,60.723
2018-10-01,22.082
2018-11-01,12.85
2018-12-01,9.405
2019-01-01,20.041
2019-02-01,30.677
2019-03-01,41.313
2019-04-01,60.317
2019-05-01,70.667
2019-06-01,99.264
2019-07-01,110.314
2019-08-01,93.038
2019-09-01,64.05
2019-10-01,28.177
2019-11-01,15.427
2019-12-01,11.981
2020-01-01,10.374
2020-02-01,13.816
2020-03-01,26.928
2020-04-01,48.455
2020-05-01,85.902
2020-06-01,101.628
2020-07-01,101.997
2020-08-01,85.729
2020-09-01,56.455
2020-10-01,32.042
2020-11-01,14.571
2020-12-01,10.176
2021-01-01,9.644
2021-02-01,14.072
2021-03-01,27.523
2021-04-01,51.754
2021-05-01,74.448
2021-06-01,99.645
2021-07-01,109.73
2021-08-01,88.635
2021-09-01,56.017
2021-10-01,31.669
2021-11-01,20.256
2021-12-01,12.407
2022-01-01,15.273
2022-02-01,18.334
2022-03-01,42.478
2022-04-01,51.375
2022-05-01,77.313
2022-06-01,100.478
2022-07-01,114.541
2022-08-01,89.128
2022-09-01,61.798
